machine_id,line_id,factory_id,machine_name,machine_type,manufacturer,install_date,ideal_cycle_time_seconds,nominal_capacity_units_per_hour
F01-L1-M1,F01-L1,F01,Injection Molder 1,Press Brake,FANUC,2018-04-15,62.1,60.7
F01-L1-M2,F01-L1,F01,CNC Lathe 2,Press Brake,Haas,2017-05-06,39.5,44.5
F01-L2-M1,F01-L2,F01,CNC Lathe 1,Conveyor/Packaging Unit,ABB,2022-03-18,35.1,49.0
F01-L2-M2,F01-L2,F01,Injection Molder 2,Injection Molder,Haas,2022-11-13,45.1,81.7
F01-L3-M1,F01-L3,F01,CNC Mill 1,Laser Cutter,KUKA,2022-07-21,88.1,77.4
F01-L3-M2,F01-L3,F01,Assembly Robot 2,Conveyor/Packaging Unit,KUKA,2021-10-18,69.3,155.1
F01-L3-M3,F01-L3,F01,Press Brake 3,Assembly Robot,Siemens,2021-05-05,80.7,77.2
F02-L1-M1,F02-L1,F02,Conveyor/Packaging Unit 1,Robotic Welder,ABB,2019-12-20,34.7,93.1
F02-L1-M2,F02-L1,F02,Injection Molder 2,Robotic Welder,KUKA,2021-03-17,31.4,77.3
F02-L1-M3,F02-L1,F02,Press Brake 3,Conveyor/Packaging Unit,Siemens,2021-05-20,77.5,47.1
F02-L2-M1,F02-L2,F02,Assembly Robot 1,Injection Molder,FANUC,2017-08-04,81.3,85.7
F02-L2-M2,F02-L2,F02,Laser Cutter 2,CNC Lathe,Mazak,2018-10-22,30.0,120.9
F02-L2-M3,F02-L2,F02,Assembly Robot 3,CNC Lathe,KUKA,2019-06-23,45.3,40.1
F03-L1-M1,F03-L1,F03,Laser Cutter 1,Injection Molder,Siemens,2022-09-21,30.7,115.4
F03-L1-M2,F03-L1,F03,CNC Lathe 2,Injection Molder,Haas,2019-09-03,61.7,68.2
F03-L2-M1,F03-L2,F03,CNC Mill 1,Injection Molder,Mazak,2017-12-06,72.6,48.8
F03-L2-M2,F03-L2,F03,Conveyor/Packaging Unit 2,Injection Molder,ABB,2019-01-29,31.1,178.0
F03-L2-M3,F03-L2,F03,Assembly Robot 3,Robotic Welder,KUKA,2022-10-05,80.9,88.0
